organism_name	species_id	data_type	qv_score	error_rate	assembly_accession	size_mb	date	modify_date	taxid	bioproject_accession	bioproject_id	group	subgroup	gc%	replicons	wgs	scaffolds	genes	proteins	release_date	status	center	biosample_accession
Jaculus jaculus	mJacJac1.pat	10x	46.9289	2.03E-05	GCA_020740715.1	2595.22	02/03/21	11/3/21	51337	PRJNA773798	773798	Animals	Mammals	39.1	-	JAJGSB01	508	-	-	11/3/21	Scaffold	Vertebrate Genomes Project	SAMN20391724
Kogia breviceps	mKogBre1.hap2	Pacbio_hifi	69.9056	1.02E-07	GCA_026419985.1	2613.42	08/25/21	11/27/22	27615	PRJNA901931	901931	Animals	Mammals	42.1701	chromosome 1:CM048756.1; chromosome 2:CM048757.1; chromosome 3:CM048758.1; chromosome 4:CM048759.1; chromosome 5:CM048760.1; chromosome 6:CM048761.1; chromosome 7:CM048762.1; chromosome 8:CM048763.1; chromosome 9:CM048764.1; chromosome 10:CM048765.1; chromosome 11:CM048766.1; chromosome 12:CM048767.1; chromosome 13:CM048768.1; chromosome 14:CM048769.1; chromosome 15:CM048770.1; chromosome 16:CM048771.1; chromosome 17:CM048772.1; chromosome 18:CM048773.1; chromosome 19:CM048774.1; chromosome 20:CM048775.1; chromosome X:CM048776.1	JAPMIG01	391	-	-	11/27/22	Chromosome	Genome 10K	SAMN31719513
Kogia breviceps	mKogBre1.hap1	Pacbio_hifi	69.2418	1.19E-07	GCA_026419965.1	2555.84	08/25/21	11/27/22	27615	PRJNA901930	901930	Animals	Mammals	42.0634	chromosome 1:CM048693.1; chromosome 2:CM048694.1; chromosome 3:CM048695.1; chromosome 4:CM048696.1; chromosome 5:CM048697.1; chromosome 6:CM048698.1; chromosome 7:CM048699.1; chromosome 8:CM048700.1; chromosome 9:CM048701.1; chromosome 10:CM048702.1; chromosome 11:CM048703.1; chromosome 12:CM048704.1; chromosome 13:CM048705.1; chromosome 14:CM048706.1; chromosome 15:CM048707.1; chromosome 16:CM048708.1; chromosome 17:CM048709.1; chromosome 18:CM048710.1; chromosome 19:CM048711.1; chromosome 20:CM048712.1; chromosome X:CM048713.1	JAPMIF01	580	-	-	11/27/22	Chromosome	Vertebrate Genomes Project	SAMN31719513
Lacerta agilis	rLacAgi1	10x	37.2117	0.00019004	GCA_009819535.1	1391.41	08/30/18	12/31/19	80427	PRJNA614516	614516	Animals	Reptiles	43.7711	chromosome 1:NC_046312.1/CM020416.1; chromosome 2:NC_046313.1/CM020417.1; chromosome 3:NC_046314.1/CM020418.1; chromosome 4:NC_046315.1/CM020419.1; chromosome 5:NC_046316.1/CM020420.1; chromosome 6:NC_046317.1/CM020421.1; chromosome 7:NC_046318.1/CM020422.1; chromosome 8:NC_046319.1/CM020423.1; chromosome 9:NC_046320.1/CM020424.1; chromosome 10:NC_046321.1/CM020425.1; chromosome 11:NC_046322.1/CM020426.1; chromosome 12:NC_046323.1/CM020427.1; chromosome 13:NC_046324.1/CM020428.1; chromosome 14:NC_046325.1/CM020429.1; chromosome 15:NC_046326.1/CM020430.1; chromosome 16:NC_046327.1/CM020431.1; chromosome 17:NC_046328.1/CM020432.1; chromosome 18:NC_046329.1/CM020433.1; chromosome W:NC_046330.1/CM020435.1; chromosome Z:NC_046331.1/CM020434.1; mitochondrion MT:NC_021766.1/CM020436.1	WNMS01	29	23190	39267	12/23/19	Chromosome	NCBI	SAMN12629509
Lagopus muta	bLagMut1	Pacbio_hifi	62.9412	5.08E-07	GCA_023343835.1	1026.77	05/03/22	6/1/22	64668	PRJNA853367	853367	Animals	Birds	41.5705	chromosome 1:NC_064433.1/CM041476.1; chromosome 2:NC_064434.1/CM041477.1; chromosome 3:NC_064435.1/CM041478.1; chromosome 4:NC_064436.1/CM041479.1; chromosome 5:NC_064437.1/CM041480.1; chromosome 6:NC_064438.1/CM041481.1; chromosome 7:NC_064439.1/CM041482.1; chromosome 8:NC_064440.1/CM041483.1; chromosome 9:NC_064441.1/CM041484.1; chromosome 10:NC_064442.1/CM041485.1; chromosome 11:NC_064443.1/CM041486.1; chromosome 12:NC_064444.1/CM041487.1; chromosome 13:NC_064445.1/CM041488.1; chromosome 14:NC_064446.1/CM041489.1; chromosome 15:NC_064447.1/CM041490.1; chromosome 16:NC_064448.1/CM041491.1; chromosome 17:NC_064449.1/CM041492.1; chromosome 18:NC_064450.1/CM041493.1; chromosome 19:NC_064451.1/CM041494.1; chromosome 20:NC_064452.1/CM041495.1; chromosome 21:NC_064453.1/CM041496.1; chromosome 22:NC_064454.1/CM041497.1; chromosome 23:NC_064455.1/CM041498.1; chromosome 24:NC_064456.1/CM041499.1; chromosome 25:NC_064457.1/CM041500.1; chromosome 26:NC_064458.1/CM041501.1; chromosome 27:NC_064459.1/CM041502.1; chromosome 28:NC_064460.1/CM041503.1; chromosome 29:NC_064461.1/CM041504.1; chromosome 30:NC_064462.1/CM041505.1; chromosome 31:NC_064463.1/CM041506.1; chromosome 32:NC_064464.1/CM041507.1; chromosome 33:NC_064465.1/CM041508.1; chromosome 34:NC_064466.1/CM041509.1; chromosome 35:NC_064467.1/CM041510.1; chromosome 36:NC_064468.1/CM041511.1; chromosome 37:NC_064469.1/CM041512.1; chromosome 38:NC_064470.1/CM041513.1; chromosome W:NC_064471.1/CM041514.1; chromosome Z:NC_064472.1/CM041515.1; mitochondrion MT:NC_034002.1/	JAMCCT01	165	20110	43798	5/12/22	Chromosome	NCBI	SAMN25144835
Lutra lutra	mLutLut1	10x	41.5742	6.96E-05	GCA_902655055.2	2438.46	08/16/18	7/10/20	9657	PRJEB35339	593481	Animals	Mammals	41.5905	chromosome 1:NC_062278.1/LR738403.1; chromosome 2:NC_062279.1/LR738404.1; chromosome 3:NC_062280.1/LR738405.1; chromosome 4:NC_062281.1/LR738406.1; chromosome 5:NC_062282.1/LR738407.1; chromosome 6:NC_062283.1/LR738408.1; chromosome 7:NC_062284.1/LR738409.1; chromosome 8:NC_062285.1/LR738410.1; chromosome 9:NC_062286.1/LR738411.1; chromosome 10:NC_062287.1/LR738412.1; chromosome 11:NC_062288.1/LR738413.1; chromosome 12:NC_062289.1/LR738414.1; chromosome 13:NC_062290.1/LR738415.1; chromosome 14:NC_062291.1/LR738416.1; chromosome 15:NC_062292.1/LR738417.1; chromosome 16:NC_062293.1/LR738418.1; chromosome 17:NC_062294.1/LR738419.1; chromosome 18:NC_062295.1/LR738420.1; chromosome 19:NC_062296.1/LR738421.1; chromosome 20:NC_062297.1/LR738422.1; mitochondrion MT:NC_062277.1/LR822067.1	CACRWI02	44	32271	57376	12/6/19	Chromosome	Wellcome Sanger Institute	SAMEA994731
Lynx canadensis	mLynCan4	10x	36.2789	0.00023556	GCA_007474595.2	42066	8/29/18	9/9/20	61383	PRJNA558991	558991	Animals	Mammals	41.6962	chromosome A1:NC_062561.1/CM040862.1; chromosome A2:NC_062562.1/CM040868.1; chromosome A3:NC_062563.1/CM040874.1; chromosome B1:NC_062564.1/CM040863.1; chromosome B2:NC_062565.1/CM040869.1; chromosome B3:NC_062566.1/CM040875.1; chromosome B4:NC_062567.1/CM040878.1; chromosome C1:NC_062568.1/CM040864.1; chromosome C2:NC_062569.1/CM040870.1; chromosome D1:NC_062570.1/CM040865.1; chromosome D2:NC_062571.1/CM040871.1; chromosome D3:NC_062572.1/CM040876.1; chromosome D4:NC_062573.1/CM040879.1; chromosome E1:NC_062574.1/CM040866.1; chromosome E2:NC_062575.1/CM040872.1; chromosome E3:NC_062576.1/CM040877.1; chromosome F1:NC_062577.1/CM040867.1; chromosome F2:NC_062578.1/CM040873.1; chromosome X:NC_062579.1/CM040880.1; mitochondrion MT:NC_028305.1/	VHLE02	54	29379	42066	7/25/19	Chromosome	NCBI	SAMN09948483
Malaclemys terrapin pileata	rMalTer1.hap2	Pacbio_hifi	67.7962	1.66E-07	GCA_027887205.1	2212.84	12/15/21	1/18/23	2991368	PRJNA895897	895897	Animals	Reptiles	44.4593	chromosome 1:CM051133.1; chromosome 2:CM051134.1; chromosome 3:CM051135.1; chromosome 4:CM051136.1; chromosome 5:CM051137.1; chromosome 6:CM051138.1; chromosome 7:CM051139.1; chromosome 8:CM051140.1; chromosome 9:CM051141.1; chromosome 10:CM051142.1; chromosome 11:CM051143.1; chromosome 12:CM051144.1; chromosome 13:CM051145.1; chromosome 14:CM051146.1; chromosome 15:CM051147.1; chromosome 16:CM051148.1; chromosome 17:CM051149.1; chromosome 18:CM051150.1; chromosome 19:CM051151.1; chromosome 20:CM051152.1; chromosome 21:CM051153.1; chromosome 22:CM051154.1; chromosome 23:CM051155.1; chromosome 24:CM051156.1; chromosome 25:CM051157.1	JAQIHJ01	59	-	-	1/17/23	Chromosome	Vertebrate Genomes Project	SAMN31394215
Malaclemys terrapin pileata	rMalTer1.hap1	Pacbio_hifi	67.6833	1.70E-07	GCA_027887155.1	2211.22	12/15/21	1/18/23	2991368	PRJNA938469	938469	Animals	Reptiles	44.4547	chromosome 1:CM051158.1; chromosome 2:CM051159.1; chromosome 3:CM051160.1; chromosome 4:CM051161.1; chromosome 5:CM051162.1; chromosome 6:CM051163.1; chromosome 7:CM051164.1; chromosome 8:CM051165.1; chromosome 9:CM051166.1; chromosome 10:CM051167.1; chromosome 11:CM051168.1; chromosome 12:CM051169.1; chromosome 13:CM051170.1; chromosome 14:CM051171.1; chromosome 15:CM051172.1; chromosome 16:CM051173.1; chromosome 17:CM051174.1; chromosome 18:CM051175.1; chromosome 19:CM051176.1; chromosome 20:CM051177.1; chromosome 21:CM051178.1; chromosome 22:CM051179.1; chromosome 23:CM051180.1; chromosome 24:CM051181.1; chromosome 25:CM051182.1	JAQIHI01	76	-	-	1/17/23	Chromosome	NCBI	SAMN31394215
Mastacembelus armatus	fMasArm1	10x	44.478	3.57E-05	GCA_900324485.2	591.952	02/23/18	4/23/21	205130	PRJEB25769	448129	Animals	Fishes	40.8629	chromosome 1:NC_046633.1/LR535833.1; chromosome 2:NC_046634.1/LR535834.1; chromosome 3:NC_046635.1/LR535835.1; chromosome 4:NC_046636.1/LR535836.1; chromosome 5:NC_046637.1/LR535837.1; chromosome 6:NC_046638.1/LR535838.1; chromosome 7:NC_046639.1/LR535839.1; chromosome 8:NC_046640.1/LR535840.1; chromosome 9:NC_046641.1/LR535841.1; chromosome 10:NC_046642.1/LR535842.1; chromosome 11:NC_046643.1/LR535843.1; chromosome 12:NC_046644.1/LR535844.1; chromosome 13:NC_046645.1/LR535845.1; chromosome 14:NC_046646.1/LR535846.1; chromosome 15:NC_046647.1/LR535847.1; chromosome 16:NC_046648.1/LR535848.1; chromosome 17:NC_046649.1/LR535849.1; chromosome 18:NC_046650.1/LR535850.1; chromosome 19:NC_046651.1/LR535851.1; chromosome 20:NC_046652.1/LR535852.1; chromosome 21:NC_046653.1/LR535853.1; chromosome 22:NC_046654.1/LR535854.1; chromosome 23:NC_046655.1/LR535855.1; chromosome 24:NC_046656.1/LR535856.1; mitochondrion MT:NC_023977.1/	OOHQ02	123	25164	42270	3/31/18	Chromosome	Wellcome Sanger Institute	SAMEA104026378
Megalops cyprinoides	fMegCyp1	10x	48.8219	1.31E-05	GCA_013368585.1	959.259	08/27/19	6/23/20	118141	PRJNA667936	667936	Animals	Fishes	43.0323	chromosome 1:NC_050583.1/CM023707.1; chromosome 2:NC_050584.1/CM023708.1; chromosome 3:NC_050585.1/CM023709.1; chromosome 4:NC_050586.1/CM023710.1; chromosome 5:NC_050587.1/CM023711.1; chromosome 6:NC_050588.1/CM023712.1; chromosome 7:NC_050589.1/CM023713.1; chromosome 8:NC_050590.1/CM023714.1; chromosome 9:NC_050591.1/CM023715.1; chromosome 10:NC_050592.1/CM023716.1; chromosome 11:NC_050593.1/CM023717.1; chromosome 12:NC_050594.1/CM023718.1; chromosome 13:NC_050595.1/CM023719.1; chromosome 14:NC_050596.1/CM023720.1; chromosome 15:NC_050597.1/CM023721.1; chromosome 16:NC_050598.1/CM023722.1; chromosome 17:NC_050599.1/CM023723.1; chromosome 18:NC_050600.1/CM023724.1; chromosome 19:NC_050601.1/CM023725.1; chromosome 20:NC_050602.1/CM023726.1; chromosome 21:NC_050603.1/CM023727.1; chromosome 22:NC_050604.1/CM023728.1; chromosome 23:NC_050605.1/CM023729.1; chromosome 24:NC_050606.1/CM023730.1; chromosome 25:NC_050607.1/CM023731.1; mitochondrion MT:NC_005799.1/CM023770.1	JABWDM01	207	27986	40137	6/23/20	Chromosome	NCBI	SAMN12623619
Melanotaenia boesemani	fMelBoe1	10x	41.8935	6.47E-05	GCA_017639745.1	865.593	08/23/19	3/30/21	1250792	PRJNA734611	734611	Animals	Fishes	39.7	chromosome 1:NC_055682.1/CM030225.1; chromosome 2:NC_055683.1/CM030226.1; chromosome 3:NC_055684.1/CM030227.1; chromosome 4:NC_055685.1/CM030228.1; chromosome 5:NC_055686.1/CM030229.1; chromosome 6:NC_055687.1/CM030230.1; chromosome 7:NC_055688.1/CM030231.1; chromosome 8:NC_055689.1/CM030232.1; chromosome 9:NC_055690.1/CM030233.1; chromosome 10:NC_055691.1/CM030234.1; chromosome 11:NC_055692.1/CM030235.1; chromosome 12:NC_055693.1/CM030236.1; chromosome 13:NC_055694.1/CM030237.1; chromosome 14:NC_055695.1/CM030238.1; chromosome 15:NC_055696.1/CM030239.1; chromosome 16:NC_055697.1/CM030240.1; chromosome 17:NC_055698.1/CM030241.1; chromosome 18:NC_055699.1/CM030242.1; chromosome 19:NC_055700.1/CM030243.1; chromosome 20:NC_055701.1/CM030244.1; chromosome 21:NC_055702.1/CM030245.1; chromosome 22:NC_055703.1/CM030246.1; chromosome 23:NC_055704.1/CM030247.1; chromosome 24:NC_055705.1/CM030248.1; mitochondrion MT:NC_028208.1/CM030249.1	JAGFVI01	93	29291	45791	3/30/21	Chromosome	NCBI	SAMN12623618
Meles meles	mMelMel3.pat	10x	55.6057	2.75E-06	GCA_922984935.1	2738.69	02/02/20	3/21/22	9662	PRJEB49353	788863	Animals	Mammals	42.4861	chromosome 1:NC_060066.1/OV277441.1; chromosome 2:NC_060067.1/OV277442.1; chromosome 3:NC_060068.1/OV277443.1; chromosome 4:NC_060069.1/OV277444.1; chromosome 5:NC_060070.1/OV277445.1; chromosome 6:NC_060071.1/OV277446.1; chromosome 7:NC_060072.1/OV277447.1; chromosome 8:NC_060073.1/OV277449.1; chromosome 9:NC_060074.1/OV277450.1; chromosome 10:NC_060075.1/OV277451.1; chromosome 11:NC_060076.1/OV277452.1; chromosome 12:NC_060077.1/OV277453.1; chromosome 13:NC_060078.1/OV277454.1; chromosome 14:NC_060079.1/OV277455.1; chromosome 15:NC_060080.1/OV277456.1; chromosome 16:NC_060081.1/OV277457.1; chromosome 17:NC_060082.1/OV277458.1; chromosome 18:NC_060083.1/OV277459.1; chromosome 19:NC_060084.1/OV277460.1; chromosome 20:NC_060085.1/OV277461.1; chromosome 21:NC_060086.1/OV277462.1; chromosome X:NC_060087.1/OV277448.1; chromosome Y:NC_060088.1/OV277463.1; mitochondrion MT:NC_011125.1/	CAKLPM01	538	31234	50518	12/18/21	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7524400
Meles meles	mMelMel3.mat	10x	46.7268	2.12E-05	GCA_922990625.1	2692.73	02/02/20	12/18/21	9662	PRJEB49352	788862	Animals	Mammals	42.5	-	CAKLPQ01	726	-	-	12/18/21	Scaffold	WELLCOME SANGER INSTITUTE	SAMEA7524400
Melopsittacus undulatus	bMelUnd1.mat	10x	39.6826	0.00010758	GCA_012275295.1	1171.62	08/30/19	4/13/20	13146	PRJNA629576	629576	Animals	Birds	41.8242	chromosome 1:NC_047527.1/CM022632.1; chromosome 2:NC_047528.1/CM022633.1; chromosome 3:NC_047529.1/CM022634.1; chromosome 4:NC_047530.1/CM022635.1; chromosome 5:NC_047531.1/CM022636.1; chromosome 6:NC_047532.1/CM022637.1; chromosome 7:NC_047533.1/CM022638.1; chromosome 8:NC_047534.1/CM022639.1; chromosome 9:NC_047535.1/CM022640.1; chromosome 10:NC_047536.1/CM022641.1; chromosome 11:NC_047537.1/CM022642.1; chromosome 12:NC_047538.1/CM022643.1; chromosome 13:NC_047539.1/CM022644.1; chromosome 14:NC_047540.1/CM022645.1; chromosome 15:NC_047541.1/CM022646.1; chromosome 16:NC_047542.1/CM022647.1; chromosome 17:NC_047543.1/CM022648.1; chromosome 18:NC_047544.1/CM022649.1; chromosome 19:NC_047545.1/CM022650.1; chromosome 20:NC_047546.1/CM022651.1; chromosome 21:NC_047547.1/CM022652.1; chromosome 22:NC_047548.1/CM022653.1; chromosome 23:NC_047549.1/CM022654.1; chromosome 24:NC_047550.1/CM022655.1; chromosome 25:NC_047551.1/CM022656.1; chromosome 26:NC_047552.1/CM022657.1; chromosome 27:NC_047553.1/CM022658.1; chromosome 28:NC_047554.1/CM022659.1; chromosome 29:NC_047555.1/CM022660.1; chromosome 30:NC_047556.1/CM022661.1; chromosome Z:NC_047557.1/CM022662.1; chromosome W:NC_047558.1/CM022663.1; mitochondrion MT:CM022664.1	JAAVWG01	864	18613	29165	4/13/20	Chromosome	NCBI	SAMN12623090
Melopsittacus undulatus	bMelUnd1.pat	10x	39.0289	0.00012506	GCA_012275275.1	1124.75	08/30/19	4/13/20	13146	PRJNA561963	561963	Animals	Birds	41.4	-	JAAVWH01	330	-	-	4/13/20	Scaffold	Vertebrate Genomes Project	SAMN12623090
Merops nubicus	bMerNub1	10x	35.2296	0.00029995	GCA_009819595.1	1149.36	12/04/18	12/23/19	57421	PRJNA561894	561894	Animals	Birds	42.9184	chromosome 1:CM020380.1; chromosome 2:CM020381.1; chromosome 3:CM020382.1; chromosome 4:CM020383.1; chromosome 5:CM020384.1; chromosome 6:CM020385.1; chromosome 7:CM020386.1; chromosome 8:CM020387.1; chromosome 9:CM020388.1; chromosome 10:CM020389.1; chromosome 11:CM020390.1; chromosome 12:CM020391.1; chromosome 13:CM020392.1; chromosome 14:CM020393.1; chromosome 15:CM020394.1; chromosome 16:CM020395.1; chromosome 17:CM020396.1; chromosome 18:CM020397.1; chromosome 19:CM020398.1; chromosome 20:CM020399.1; chromosome 21:CM020400.1; chromosome 22:CM020401.1; chromosome 23:CM020402.1; chromosome 24:CM020403.1; chromosome 25:CM020404.1; chromosome 26:CM020405.1; chromosome 27:CM020406.1; chromosome 28:CM020407.1; chromosome 29:CM020408.1; chromosome 30:CM020409.1; chromosome 31:CM020410.1; chromosome 32:CM020411.1; chromosome 33:CM020412.1; chromosome 34:CM020413.1; chromosome W:CM020415.1; chromosome Z:CM020414.1; mitochondrion MT:CM020464.1	WNMU01	109	-	-	12/23/19	Chromosome	Vertebrate Genomes Project	SAMN12621035
Mesoplodon densirostris	mMesDen1	Pacbio_hifi	71.6578	6.83E-08	GCA_025265405.1	2683.38	08/25/21	9/8/22	48708	PRJNA873668	873668	Animals	Mammals	41.7053	chromosome 1:CM046080.1; chromosome 2:CM046081.1; chromosome 3:CM046082.1; chromosome 4:CM046083.1; chromosome 5:CM046084.1; chromosome 6:CM046085.1; chromosome 7:CM046086.1; chromosome 8:CM046087.1; chromosome 9:CM046088.1; chromosome 10:CM046089.1; chromosome 11:CM046090.1; chromosome 12:CM046091.1; chromosome 13:CM046092.1; chromosome 14:CM046093.1; chromosome 15:CM046094.1; chromosome 16:CM046095.1; chromosome 17:CM046096.1; chromosome 18:CM046097.1; chromosome 19:CM046098.1; chromosome 20:CM046099.1; chromosome X:CM046100.1; chromosome Y:CM046101.1	JANXIL01	73	-	-	9/8/22	Chromosome	Vertebrate Genomes Project	SAMN29828597
Microcaecilia unicolor	aMicUni1	10x	37.008	0.00019916	GCA_901765095.1	4685.94	08/03/18	4/23/21	1415580	PRJEB32737	549638	Animals	Amphibians	44.0677	chromosome 1:NC_044031.1/LR594632.1; chromosome 2:NC_044032.1/LR594633.1; chromosome 3:NC_044033.1/LR594634.1; chromosome 4:NC_044034.1/LR594635.1; chromosome 5:NC_044035.1/LR594636.1; chromosome 6:NC_044036.1/LR594637.1; chromosome 7:NC_044037.1/LR594638.1; chromosome 8:NC_044038.1/LR594639.1; chromosome 9:NC_044039.1/LR594640.1; chromosome 10:NC_044040.1/LR594641.1; chromosome 11:NC_044041.1/LR594642.1; chromosome 12:NC_044042.1/LR594643.1; chromosome 13:NC_044043.1/LR594644.1; chromosome 14:NC_044044.1/LR594645.1; mitochondrion MT:NC_023515.1/	CABFKK01	1081	26246	37109	6/18/19	Chromosome	Wellcome Sanger Institute	SAMEA104387962
Molossus molossus	mMolMol1	Pacbio_hifi	45.6981	2.69E-05	GCA_014108415.1	2315.57	02/23/20	8/13/20	27622	PRJNA665629	665629	Animals	Mammals	42.5	mitochondrion MT:CM024385.1	JACASF01	60	28911	42753	8/7/20	Scaffold	NCBI	SAMN14734448
Monodelphis domestica	mMonDom1	Pacbio_hifi	59.8546	1.03E-06	GCA_027887165.1	3586.18	11/01/21	1/18/23	13616	PRJNA915592	915592	Animals	Mammals	38.0265	chromosome 1:CM051223.1; chromosome 2:CM051224.1; chromosome 3:CM051225.1; chromosome 4:CM051226.1; chromosome 5:CM051227.1; chromosome 6:CM051228.1; chromosome 7:CM051229.1; chromosome 8:CM051230.1; chromosome X:CM051231.1; chromosome Y:CM051232.1; mitochondrion MT:CM051233.1	JAQIHD01	14	-	-	1/17/23	Chromosome	Vertebrate Genomes Project	SAMN31801966
Mustela erminea	mMusErm1	10x	47.5057	1.78E-05	GCA_009829155.1	2445.22	05/30/19	1/3/20	36723	PRJNA602914	602914	Animals	Mammals	41.6458	chromosome 1:NC_045614.1/CM020568.1; chromosome 2:NC_045615.1/CM020569.1; chromosome 3:NC_045616.1/CM020570.1; chromosome 4:NC_045617.1/CM020571.1; chromosome 5:NC_045618.1/CM020572.1; chromosome 6:NC_045619.1/CM020573.1; chromosome 7:NC_045620.1/CM020574.1; chromosome 8:NC_045621.1/CM020575.1; chromosome 9:NC_045622.1/CM020576.1; chromosome 10:NC_045623.1/CM020577.1; chromosome 11:NC_045624.1/CM020578.1; chromosome 12:NC_045625.1/CM020579.1; chromosome 13:NC_045626.1/CM020580.1; chromosome 14:NC_045627.1/CM020581.1; chromosome 15:NC_045628.1/CM020582.1; chromosome 16:NC_045629.1/CM020583.1; chromosome 17:NC_045630.1/CM020584.1; chromosome 18:NC_045631.1/CM020585.1; chromosome 19:NC_045632.1/CM020586.1; chromosome 20:NC_045633.1/CM020587.1; chromosome 21:NC_045634.1/CM020588.1; chromosome X:NC_045635.1/CM020589.1; chromosome Y:NC_045636.1/CM020590.1; mitochondrion MT:NC_025516.1/CM020617.1	WNLY01	94	34309	60443	1/3/20	Chromosome	NCBI	SAMN12611999
Myotis myotis	mMyoMyo1	10x	44.8771	3.25E-05	GCA_014108235.1	2002.8	11/25/19	8/13/20	51298	PRJNA665501	665501	Animals	Mammals	43.1999	mitochondrion MT:NC_029346.1/CM024383.1	JABWUV01	93	30786	61156	8/7/20	Scaffold	NCBI	SAMN14734277
Myripristis murdjan	fMyrMur1	10x	43.0483	4.96E-05	GCA_902150065.1	835.255	8/23/18	12/2/19	586833	PRJEB33188	551171	Animals	Fishes	41.8483	chromosome 1:NC_043980.1/LR597550.1; chromosome 2:NC_043981.1/LR597551.1; chromosome 3:NC_043982.1/LR597552.1; chromosome 4:NC_043983.1/LR597553.1; chromosome 5:NC_043984.1/LR597554.1; chromosome 6:NC_043985.1/LR597555.1; chromosome 7:NC_043986.1/LR597556.1; chromosome 8:NC_043987.1/LR597557.1; chromosome 9:NC_043988.1/LR597558.1; chromosome 10:NC_043989.1/LR597559.1; chromosome 11:NC_043990.1/LR597560.1; chromosome 12:NC_043991.1/LR597561.1; chromosome 13:NC_043992.1/LR597562.1; chromosome 14:NC_043993.1/LR597563.1; chromosome 15:NC_043994.1/LR597564.1; chromosome 16:NC_043995.1/LR597565.1; chromosome 17:NC_043996.1/LR597566.1; chromosome 18:NC_043997.1/LR597567.1; chromosome 19:NC_043998.1/LR597568.1; chromosome 20:NC_043999.1/LR597569.1; chromosome 21:NC_044000.1/LR597570.1; chromosome 22:NC_044001.1/LR597571.1; chromosome 23:NC_044002.1/LR597572.1; chromosome 24:NC_044003.1/LR597573.1	CABFVW01	87	26968	38141	6/28/19	Chromosome	Wellcome Sanger Institute	SAMEA4872133
Neoarius graeffei	fNeoGra1	Pacbio_hifi	60.2299	9.48E-07	GCA_027579695.1	2341.92	03/30/22	1/6/23	443677	PRJNA839496	839496	Animals	Fishes	42.49	chromosome 1:CM050620.1; chromosome 2:CM050621.1; chromosome 3:CM050622.1; chromosome 4:CM050623.1; chromosome 5:CM050624.1; chromosome 6:CM050625.1; chromosome 7:CM050626.1; chromosome 8:CM050627.1; chromosome 9:CM050628.1; chromosome 10:CM050629.1; chromosome 11:CM050630.1; chromosome 12:CM050631.1; chromosome 13:CM050632.1; chromosome 14:CM050633.1; chromosome 15:CM050634.1; chromosome 16:CM050635.1; chromosome 17:CM050636.1; chromosome 18:CM050637.1; chromosome 19:CM050638.1; chromosome 20:CM050639.1; chromosome 21:CM050640.1; chromosome 22:CM050641.1; chromosome 23:CM050642.1; chromosome 24:CM050643.1; chromosome 25:CM050644.1; chromosome 26:CM050645.1; chromosome 27:CM050646.1; chromosome 28:CM050647.1	JAQCNV01	38	-	-	1/6/23	Chromosome	Vertebrate Genomes Project	SAMN28453209
Notolabrus celidotus	fNotCel1	10x	37.5918	0.00017411	GCA_009762535.1	846.744	01/10/19	12/17/19	1203425	PRJNA634114	634114	Animals	Fishes	41.0106	chromosome 1:NC_048272.1/CM019771.1; chromosome 2:NC_048273.1/CM019772.1; chromosome 3:NC_048274.1/CM019773.1; chromosome 4:NC_048275.1/CM019774.1; chromosome 5:NC_048276.1/CM019775.1; chromosome 6:NC_048277.1/CM019776.1; chromosome 7:NC_048278.1/CM019777.1; chromosome 8:NC_048279.1/CM019778.1; chromosome 9:NC_048280.1/CM019779.1; chromosome 10:NC_048281.1/CM019780.1; chromosome 11:NC_048282.1/CM019781.1; chromosome 12:NC_048283.1/CM019782.1; chromosome 13:NC_048284.1/CM019783.1; chromosome 14:NC_048285.1/CM019784.1; chromosome 15:NC_048286.1/CM019785.1; chromosome 16:NC_048287.1/CM019786.1; chromosome 17:NC_048288.1/CM019787.1; chromosome 18:NC_048289.1/CM019788.1; chromosome 19:NC_048290.1/CM019789.1; chromosome 20:NC_048291.1/CM019790.1; chromosome 21:NC_048292.1/CM019791.1; chromosome 22:NC_048293.1/CM019792.1; chromosome 23:NC_048294.1/CM019793.1; chromosome 24:NC_048295.1/CM019794.1; mitochondrion MT:CM019797.1	WOTL01	467	28408	39434	12/17/19	Chromosome	NCBI	SAMN12623201
